Epoch: 0, Test Loss: 1.091782808303833
{'recon_loss': 0.45042741298675537, 'kl_loss': 15161470.0, 'test_loss': 0.5512924045324326}
{'recon_loss': 0.45059508085250854, 'kl_loss': 15161468.0, 'test_loss': 0.5512924045324326}
{'recon_loss': 0.4507001042366028, 'kl_loss': 15161468.0, 'test_loss': 0.5512924045324326}
{'recon_loss': 0.4529746174812317, 'kl_loss': 15161468.0, 'test_loss': 0.5512924045324326}
{'recon_loss': 0.4500201940536499, 'kl_loss': 15161468.0, 'test_loss': 0.5512924045324326}
{'recon_loss': 0.4552524983882904, 'kl_loss': 15161468.0, 'test_loss': 0.5512924045324326}
{'recon_loss': 0.45101869106292725, 'kl_loss': 15161468.0, 'test_loss': 0.5512924045324326}
Epoch: 220, Test Loss: 0.5529803484678268
{'recon_loss': 0.4535064101219177, 'kl_loss': 15161468.0, 'test_loss': 0.5529803484678268}
{'recon_loss': 0.4511342942714691, 'kl_loss': 15161468.0, 'test_loss': 0.5529803484678268}
{'recon_loss': 0.45536676049232483, 'kl_loss': 15161468.0, 'test_loss': 0.5529803484678268}
{'recon_loss': 0.45167896151542664, 'kl_loss': 15161468.0, 'test_loss': 0.5529803484678268}
{'recon_loss': 0.4508263170719147, 'kl_loss': 15161467.0, 'test_loss': 0.5529803484678268}
{'recon_loss': 0.4513916075229645, 'kl_loss': 15161467.0, 'test_loss': 0.5529803484678268}
{'recon_loss': 0.45118698477745056, 'kl_loss': 15161467.0, 'test_loss': 0.5529803484678268}
{'recon_loss': 0.45431897044181824, 'kl_loss': 15161467.0, 'test_loss': 0.5529803484678268}
{'recon_loss': 0.4569905698299408, 'kl_loss': 15161467.0, 'test_loss': 0.5529803484678268}
{'recon_loss': 0.4541149437427521, 'kl_loss': 15161467.0, 'test_loss': 0.5529803484678268}
Epoch: 230, Test Loss: 0.5539448633790016
{'recon_loss': 0.45141705870628357, 'kl_loss': 15161467.0, 'test_loss': 0.5539448633790016}
{'recon_loss': 0.45135438442230225, 'kl_loss': 15161467.0, 'test_loss': 0.5539448633790016}
{'recon_loss': 0.45881134271621704, 'kl_loss': 15161467.0, 'test_loss': 0.5539448633790016}
{'recon_loss': 0.45369672775268555, 'kl_loss': 15161467.0, 'test_loss': 0.5539448633790016}
{'recon_loss': 0.4533923864364624, 'kl_loss': 15161467.0, 'test_loss': 0.5539448633790016}
{'recon_loss': 0.45100584626197815, 'kl_loss': 15161467.0, 'test_loss': 0.5539448633790016}
{'recon_loss': 0.45297905802726746, 'kl_loss': 15161467.0, 'test_loss': 0.5539448633790016}
{'recon_loss': 0.45476382970809937, 'kl_loss': 15161467.0, 'test_loss': 0.5539448633790016}
{'recon_loss': 0.45718932151794434, 'kl_loss': 15161467.0, 'test_loss': 0.5539448633790016}
{'recon_loss': 0.45235636830329895, 'kl_loss': 15161464.0, 'test_loss': 0.5539448633790016}
Epoch: 240, Test Loss: 0.5559707060456276
{'recon_loss': 0.45292049646377563, 'kl_loss': 15161464.0, 'test_loss': 0.5559707060456276}
{'recon_loss': 0.4528456926345825, 'kl_loss': 15161464.0, 'test_loss': 0.5559707060456276}
{'recon_loss': 0.45387396216392517, 'kl_loss': 15161464.0, 'test_loss': 0.5559707060456276}
{'recon_loss': 0.45095688104629517, 'kl_loss': 15161464.0, 'test_loss': 0.5559707060456276}
{'recon_loss': 0.4526783525943756, 'kl_loss': 15161464.0, 'test_loss': 0.5559707060456276}
{'recon_loss': 0.4511227309703827, 'kl_loss': 15161464.0, 'test_loss': 0.5559707060456276}
{'recon_loss': 0.4517146944999695, 'kl_loss': 15161464.0, 'test_loss': 0.5559707060456276}
{'recon_loss': 0.45576465129852295, 'kl_loss': 15161463.0, 'test_loss': 0.5559707060456276}
{'recon_loss': 0.4532625377178192, 'kl_loss': 15161462.0, 'test_loss': 0.5559707060456276}
{'recon_loss': 0.45606061816215515, 'kl_loss': 15161462.0, 'test_loss': 0.5559707060456276}
Epoch: 250, Test Loss: 0.556982234120369
{'recon_loss': 0.45496752858161926, 'kl_loss': 15161462.0, 'test_loss': 0.556982234120369}
{'recon_loss': 0.4528925120830536, 'kl_loss': 15161462.0, 'test_loss': 0.556982234120369}
{'recon_loss': 0.4674646556377411, 'kl_loss': 15161462.0, 'test_loss': 0.556982234120369}
{'recon_loss': 0.4590369164943695, 'kl_loss': 15161462.0, 'test_loss': 0.556982234120369}
{'recon_loss': 0.4555923640727997, 'kl_loss': 15161462.0, 'test_loss': 0.556982234120369}
{'recon_loss': 0.4917900860309601, 'kl_loss': 15161464.0, 'test_loss': 0.556982234120369}
{'recon_loss': 0.5661811828613281, 'kl_loss': 15161467.0, 'test_loss': 0.556982234120369}
{'recon_loss': 0.5247980356216431, 'kl_loss': 15161464.0, 'test_loss': 0.556982234120369}
