Epoch: 0, Test Loss: 1.1887319684028625
{'recon_loss': 0.9348703026771545, 'kl_loss': 350.845458984375, 'test_loss': 152.14122227260043}
{'recon_loss': 0.8632966876029968, 'kl_loss': 334.0989074707031, 'test_loss': 152.14122227260043}
{'recon_loss': 1.0394585132598877, 'kl_loss': 317.9878845214844, 'test_loss': 152.14122227260043}
{'recon_loss': 1.5079118013381958, 'kl_loss': 340.1986999511719, 'test_loss': 152.14122227260043}
{'recon_loss': 1.363491177558899, 'kl_loss': 395.64959716796875, 'test_loss': 152.14122227260043}
{'recon_loss': 1.2274665832519531, 'kl_loss': 388.4503173828125, 'test_loss': 152.14122227260043}
{'recon_loss': 1.0225558280944824, 'kl_loss': 383.7879638671875, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9183157086372375, 'kl_loss': 388.5348815917969, 'test_loss': 152.14122227260043}
{'recon_loss': 1.0545912981033325, 'kl_loss': 391.9817810058594, 'test_loss': 152.14122227260043}
{'recon_loss': 0.920569658279419, 'kl_loss': 2015.66796875, 'test_loss': 152.14122227260043}
{'recon_loss': 1.0410288572311401, 'kl_loss': 1793.9417724609375, 'test_loss': 152.14122227260043}
{'recon_loss': 1.6209765672683716, 'kl_loss': 1405.8841552734375, 'test_loss': 152.14122227260043}
{'recon_loss': 1.140809416770935, 'kl_loss': 1118.489990234375, 'test_loss': 152.14122227260043}
{'recon_loss': 0.944477915763855, 'kl_loss': 1019.6617431640625, 'test_loss': 152.14122227260043}
{'recon_loss': 0.8033088445663452, 'kl_loss': 1037.9759521484375, 'test_loss': 152.14122227260043}
{'recon_loss': 1.2624799013137817, 'kl_loss': 831.4349975585938, 'test_loss': 152.14122227260043}
{'recon_loss': 461.0609130859375, 'kl_loss': 617.97509765625, 'test_loss': 152.14122227260043}
{'recon_loss': 1.205898642539978, 'kl_loss': 21362.78515625, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9835253953933716, 'kl_loss': 21019.73046875, 'test_loss': 152.14122227260043}
{'recon_loss': 0.8681389093399048, 'kl_loss': 16635.5078125, 'test_loss': 152.14122227260043}
{'recon_loss': 1.2491517066955566, 'kl_loss': 12794.00390625, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9425095915794373, 'kl_loss': 10485.720703125, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9930996894836426, 'kl_loss': 8596.2998046875, 'test_loss': 152.14122227260043}
{'recon_loss': 0.8094455003738403, 'kl_loss': 7168.21240234375, 'test_loss': 152.14122227260043}
{'recon_loss': 1.0927265882492065, 'kl_loss': 5980.78857421875, 'test_loss': 152.14122227260043}
{'recon_loss': 0.8445569276809692, 'kl_loss': 5150.8115234375, 'test_loss': 152.14122227260043}
{'recon_loss': 1.1013046503067017, 'kl_loss': 4480.7451171875, 'test_loss': 152.14122227260043}
{'recon_loss': 0.9326591491699219, 'kl_loss': 3838.863037109375, 'test_loss': 152.14122227260043}
